feature,gain
graph_neighbor_degree_max,2290.48779296875
graph_two_hop_neighbor_count,1924.2357177734375
daily_txn_count_mean,856.9277954101562
dyn_mem_total_count_7d,713.672607421875
graph_in_two_hop_reach,305.82769775390625
dyn_mem_total_count_24h,260.0658874511719
graph_in_nb_fast_in_out_count_24h_mean,241.43057250976562
graph_nb_counterparty_amount_top_ratio_max,159.370849609375
graph_nb_counterparty_amount_top_ratio_mean,133.0970458984375
counterparty_amount_max,112.39895629882812
counterparty_amount_mean,86.94076538085938
dyn_mem_in_count_7d,84.45609283447266
graph_nb_total_txn_count_mean,83.69823455810547
dyn_mem_in_count_24h,83.0969009399414
dyn_mem_last_event_age_hours,72.35562133789062
graph_in_nb_max_prior_in_count_before_out_24h_mean,71.90852355957031
graph_in_nb_in_amount_sum_mean,70.59223937988281
account_age_months,68.84143829345703
region_code,65.10116577148438
pagerank,55.911346435546875
in_amount_median,44.466739654541016
daily_txn_count_max,38.76969528198242
graph_nb_counterparty_txn_top_ratio_mean,37.35660934448242
graph_in_nb_in_out_amount_ratio_mean,32.39168167114258
graph_nb_in_out_amount_ratio_mean,26.467300415039062
dyn_in_amount_bin_b1_ratio,9.527403831481934
