feature,gain
dyn_total_active_week_count,4639.3603515625
dyn_mem_total_count_7d,3282.29541015625
dyn_total_week_txn_mean,3150.642822265625
dyn_mem_total_count_24h,1863.6915283203125
dyn_mem_last_event_age_hours,169.6037139892578
dyn_total_time_bucket_afternoon_ratio,161.9951171875
dyn_total_week_amount_mean,63.65434646606445
dyn_mem_last_in_age_hours,54.9822998046875
dyn_total_amount_bin_b0_count,39.967254638671875
dyn_in_amount_bin_b1_ratio,35.6646728515625
dyn_mem_in_count_7d,33.09380340576172
dyn_mem_in_amount_24h,29.570770263671875
dyn_mem_in_count_24h,29.274076461791992
dyn_in_amount_bin_b1_count,26.571685791015625
