feature,gain
graph_neighbor_degree_max,2280.373291015625
graph_two_hop_neighbor_count,1843.157470703125
daily_txn_count_mean,763.4568481445312
dyn_mem_total_count_7d,588.720947265625
graph_in_two_hop_reach,305.82769775390625
dyn_mem_total_count_24h,260.508056640625
graph_nb_counterparty_amount_top_ratio_max,159.370849609375
graph_nb_counterparty_amount_top_ratio_mean,133.09678649902344
dyn_mem_in_count_24h,119.5685806274414
graph_in_nb_fast_in_out_count_24h_mean,112.2740249633789
counterparty_amount_max,98.68949127197266
dyn_mem_in_count_7d,74.56978607177734
graph_nb_total_txn_count_mean,72.31693267822266
graph_neighbor_degree_mean,68.42953491210938
graph_nb_total_txn_count_max,56.567169189453125
account_age_months,54.62167739868164
region_code,53.31764221191406
graph_in_nb_in_amount_sum_mean,49.07963943481445
graph_in_nb_max_prior_in_count_before_out_24h_mean,48.39756393432617
dyn_total_amount_bin_b1_ratio,38.360870361328125
in_amount_median,38.03744888305664
graph_in_nb_in_out_amount_ratio_mean,31.378265380859375
daily_txn_count_max,30.600767135620117
graph_nb_counterparty_txn_top_ratio_mean,28.930768966674805
dyn_in_amount_bin_b1_count,26.480255126953125
counterparty_amount_mean,24.2872371673584
graph_nb_in_out_amount_ratio_mean,22.983776092529297
dyn_in_amount_bin_b1_ratio,13.176992416381836
