feature,gain
dyn_total_active_week_count,4605.669921875
dyn_total_week_txn_mean,3126.259033203125
dyn_mem_total_count_7d,2762.82666015625
dyn_mem_total_count_24h,2661.970458984375
dyn_mem_last_event_age_hours,157.94992065429688
dyn_mem_last_in_age_hours,137.276611328125
dyn_out_active_week_count,95.6722412109375
dyn_total_week_amount_mean,49.52684783935547
dyn_mem_in_count_7d,35.51481628417969
dyn_total_amount_bin_b0_count,34.87408447265625
dyn_mem_in_count_24h,31.414783477783203
dyn_total_week_amount_max,29.670204162597656
dyn_mem_in_amount_24h,26.726028442382812
